,Participant_ID,Condition_Name,Starting_Plateau_Idx,Cycle_Idx,Decline_First_Selection
0,1,Bergmann Colored vs. Gray,1,1,0.0
1,1,Bergmann Colored vs. Gray,1,2,0.0
2,1,Bergmann Colored vs. Gray,1,3,0.0
3,1,Bergmann Colored vs. Gray,1,4,1.0
4,1,Bergmann Colored vs. Gray,1,5,1.0
5,1,Bergmann Colored vs. Gray,1,6,0.0
6,1,Bergmann Colored vs. Gray,1,7,0.0
7,1,Bergmann Colored vs. Gray,1,8,1.0
8,1,Bergmann Colored vs. Gray,1,9,0.0
9,1,Bergmann Colored vs. Gray,1,10,0.0
10,1,Bergmann Colored vs. Gray,1,11,1.0
11,1,Bergmann Colored vs. Gray,1,12,0.0
12,1,Bergmann Colored vs. Gray,1,13,0.0
13,1,Bergmann Colored vs. Gray,1,14,1.0
14,1,Bergmann Colored vs. Gray,1,15,0.0
15,1,Bergmann Colored vs. Gray,1,16,0.0
16,1,Bergmann Colored vs. Gray,1,17,0.0
17,1,Bergmann Colored vs. Gray,1,18,1.0
18,1,Bergmann Colored vs. Gray,1,19,0.0
19,1,Bergmann Colored vs. Gray,1,20,1.0
20,1,Bergmann Colored vs. Gray,1,21,0.0
21,1,Bergmann Colored vs. Gray,1,22,0.0
22,1,Bergmann Colored vs. Gray,1,23,1.0
23,1,Bergmann Colored vs. Gray,1,24,1.0
24,1,Bergmann Colored vs. Gray,1,25,1.0
25,1,Bergmann Colored vs. Gray,1,26,1.0
26,1,Bergmann Colored vs. Gray,1,27,0.0
27,1,Bergmann Colored vs. Gray,1,28,0.0
28,1,Bergmann Colored vs. Gray,1,29,0.0
29,1,Bergmann Colored vs. Gray,1,30,0.0
30,1,Bergmann Colored vs. Gray,1,31,0.0
31,1,Bergmann Colored vs. Gray,1,1,0.0
32,1,Bergmann Colored vs. Gray,1,2,0.0
33,1,Bergmann Colored vs. Gray,1,3,0.0
34,1,Bergmann Colored vs. Gray,1,4,1.0
35,1,Bergmann Colored vs. Gray,1,6,1.0
36,1,Bergmann Colored vs. Gray,1,7,0.0
37,1,Bergmann Colored vs. Gray,1,8,1.0
38,1,Bergmann Colored vs. Gray,1,9,0.0
39,1,Bergmann Colored vs. Gray,1,10,1.0
40,1,Bergmann Colored vs. Gray,1,11,1.0
41,1,Bergmann Colored vs. Gray,1,12,1.0
42,1,Bergmann Colored vs. Gray,1,13,0.0
43,1,Bergmann Colored vs. Gray,1,14,1.0
44,1,Bergmann Colored vs. Gray,1,16,1.0
45,1,Bergmann Colored vs. Gray,1,17,1.0
46,1,Bergmann Colored vs. Gray,1,18,0.0
47,1,Bergmann Colored vs. Gray,1,20,1.0
48,1,Bergmann Colored vs. Gray,1,21,0.0
49,1,Bergmann Colored vs. Gray,1,22,0.0
50,1,Bergmann Colored vs. Gray,1,24,0.0
51,1,Bergmann Colored vs. Gray,1,25,1.0
52,1,Bergmann Colored vs. Gray,1,26,0.0
53,1,Bergmann Colored vs. Gray,1,27,0.0
54,1,Bergmann Colored vs. Gray,1,28,1.0
55,1,Bergmann Colored vs. Gray,1,29,0.0
56,1,Bergmann Colored vs. Gray,1,30,0.0
57,1,Bergmann Colored vs. Gray,1,31,1.0
58,1,Bergmann Colored vs. Gray,1,0,1.0
59,1,Bergmann Colored vs. Gray,1,1,0.0
60,1,Bergmann Colored vs. Gray,1,2,0.0
