,Participant_ID,Starting_Plateau_Idx,Block,Cycle_Idx,Stages,Directions,Phase,Pentagon_selected,Star_selected,Response,Response_time,Correctness,Condition_Name,Selection
0,56,0,1,0,P1,pentagon_to_star,pentagon_plateau,1,0,2,798,1,Online,1
1,56,0,1,1,P2,pentagon_to_star,pentagon_plateau,0,1,1,1026,1,Online,0
2,56,0,1,2,P3,pentagon_to_star,pentagon_plateau,0,0,2,802,0,Online,0
3,56,0,1,3,T1,pentagon_to_star,pentagon_to_star_trans,0,0,1,846,0,Online,0
4,56,0,1,4,T2,pentagon_to_star,pentagon_to_star_trans,1,0,2,671,1,Online,1
5,56,0,1,5,T3,pentagon_to_star,pentagon_to_star_trans,0,1,3,860,1,Online,0
6,56,0,1,6,T4,pentagon_to_star,pentagon_to_star_trans,0,0,4,1183,0,Online,0
7,56,0,1,7,T5,pentagon_to_star,pentagon_to_star_trans,0,0,2,1025,0,Online,0
8,56,0,1,8,T6,pentagon_to_star,pentagon_to_star_trans,0,0,4,730,0,Online,0
9,56,0,1,9,T7,pentagon_to_star,pentagon_to_star_trans,1,0,3,967,1,Online,1
10,56,0,1,10,T8,pentagon_to_star,pentagon_to_star_trans,0,0,3,707,0,Online,0
11,56,0,1,11,T9,pentagon_to_star,pentagon_to_star_trans,0,1,1,682,1,Online,0
12,56,0,1,12,T10,pentagon_to_star,pentagon_to_star_trans,0,1,3,1056,1,Online,0
13,56,0,1,13,T11,pentagon_to_star,pentagon_to_star_trans,0,1,3,1097,1,Online,0
14,56,0,1,14,T12,pentagon_to_star,pentagon_to_star_trans,1,0,2,814,1,Online,1
15,56,0,1,15,T13,pentagon_to_star,pentagon_to_star_trans,0,0,2,570,0,Online,0
16,56,0,1,16,P1,star_to_pentagon,star_plateau,0,0,4,932,0,Online,0
17,56,0,1,17,P2,star_to_pentagon,star_plateau,1,0,3,993,1,Online,1
18,56,0,1,18,P3,star_to_pentagon,star_plateau,1,0,3,923,1,Online,1
19,56,0,1,19,T1,star_to_pentagon,star_to_pentagon_trans,1,0,3,584,1,Online,1
